Customer Account # / Cliente,Average of Kg Surtigo
11652423,17.68
11652426,33.76
11652431,20.56
11652433,2.18
11652434,13.90
11652438,4.22
11652441,9.60
11652443,3.68
11652444,2.94
11652445,4.24
11652448,12.03
11652449,13.11
11652451,5.42
11652453,3.83
11652454,8.88
11652456,7.29
11652458,35.54
11652460,2.49
11652463,13.72
11652467,5.17
11652470,3.52
11652478,5.32
11652484,3.59
11652485,1.77
11652489,8.68
11652491,3.57
11652492,4.52
11652494,3.26
11652496,10.14
11652498,2.04
11652500,2.34
11652501,7.08
11652508,3.44
11652861,1.81
11652913,2.47
11652914,3.73
11653001,1.42
11653002,1.88
11653052,1.67
11653053,6.35
11653177,5.59
11653179,3.35
11653181,1.71
11653186,7.19
11653188,12.93
11653243,10.40
11653320,1.81
11653399,5.74
11653401,2.80
11653402,1.42
11653403,20.92
11653474,5.39
11653475,11.36
11653625,1.72
11653627,9.00
11653634,1.98
11653735,5.15
11653737,5.00
11653738,2.33
11653742,5.75
11653743,2.30
11653748,1.23
11653814,12.12
11653815,3.51
11653816,4.49
11653923,2.63
11654125,3.75
11654182,1.46
11654190,2.90
11654365,2.00
11654373,1.51
11654480,16.45
11654662,8.60
11654664,2.19
11654674,3.31
11654675,1.86
11654772,4.03
11654777,2.14
11654780,4.44
11655076,4.30
11655209,2.90
11655220,15.82
11655223,15.42
11655224,2.96
11655229,3.46
11655231,7.42
11655233,1.76
11655357,7.62
11655361,2.39
11655453,5.86
11655454,1.77
11655463,1.55
11655465,5.43
11655568,3.48
11655569,2.44
11655571,6.23
11655586,3.22
11655588,25.84
11655685,6.68
11655692,1.35
11655796,5.65
11655798,2.62
11655805,2.84
11655808,2.03
11655914,21.45
11655919,4.01
11656002,5.76
11656005,3.12
11656117,1.95
11656121,3.60
11656231,3.49
11656390,5.60
11656395,3.81
11656398,1.41
11656474,5.46
11656480,4.05
11656565,4.34
11656568,41.97
11656569,3.32
11656570,4.58
11656572,9.82
11656661,2.41
11656663,2.52
11656666,3.52
11656667,1.62
11656673,3.53
11656678,5.04
11656901,13.41
11656903,2.24
11656905,3.75
11656908,18.93
11656910,6.00
11656914,2.79
11656916,2.02
11656983,1.25
11656990,8.11
11656991,1.26
11656996,4.34
11657082,2.12
11657186,2.57
11657187,4.14
11657252,1.67
11657262,3.11
11657264,1.73
11657265,5.20
11657429,6.07
11657435,6.93
11657436,4.00
11657437,12.12
11657442,2.25
11657520,3.66
11657527,1.83
11657529,2.78
11657612,3.89
11657728,7.92
11657739,5.09
11657835,11.01
11657838,10.84
11657840,2.27
11657841,17.67
11657842,2.66
11657968,26.98
11657972,3.67
11657980,3.31
11657982,1.68
11657984,2.09
11657991,1.93
11658052,2.34
11658142,5.43
11658152,2.65
11658219,11.13
11658223,1.94
11658224,7.83
11658226,1.82
11658228,3.57
11658316,2.99
11658439,2.17
11658454,5.35
11658517,1.73
11658519,15.08
11658525,6.35
11658627,4.18
11658631,1.52
11658739,3.65
11658745,1.99
11659015,2.85
11659071,2.47
11659082,3.36
11659186,2.21
11659195,4.36
